Product Master,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Printed by ITD436_OP1 at 22/05/2026 12:14:45,,,,,
Status :,,Active,,,,,,,,,,,,,,,,,,,,,,,,
Category :,,CG - 01 CIGARETTE,,,,,,,,,,,,,,,,,,,,,,,,
Sub Category :,,"CACFT - FILTER,CACKS - KING SIZE,CACSK - SUPER KINGS,CADRS - REGULAR SIZE,CAMKS - KING SIZE,CAMLO - LONGS,CAMRS - REGULAR SIZE,CAMSK - SUPER KINGS,CBHKS - KING SIZE,CBHLO - LONGS,CBHRS - REGULAR SIZE,...",,,,,,,,,,,,,,,,,,,,,,,,
Product :,,"1000 - NAVYCUT FT 10PP_1000,1006 - GOLD FLAKE PREM MINT SWITCH 10BE_1006,1012 - NAVYCUT FT 20PP_1012,1016 - NAVY CUT SPECIAL FT-500S 10BE_1016,1017 - NAVYCUT FILTER 10HL BE_1017,102 - PLAYERS GOLD LEA...",,,,,,,,,,,,,,,,,,,,,,,,
SBU,Category,Sub Category,MSKU,Vajra Product Group Name,Button Description,Item Code,Item Description,WD Customised Description,HSN,EAN Number,Item Status,PTR per PAC,MRP,UOM1,UOM1 Conversion,UOM2,UOM2 Conversion,UOM3,UOM3 Conversion,Number of PACs in CFC,Number of PACs in Outer,License on SKU,SGST%,CGST%,Cess%,Addl Cess per M
C,CG,CFLDS,FLSPLDSFT10,,,3775,FLAKE SPL DSFT 10BE-MD-LEP_3775,FLAKE SPL DSFT 10BE-MD-LEP_3775,2402 20 30,8901725053215,Active,49.71,78.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CFLRS,FLAKEINSTAFRSHFT10,,,3703,FLAKE INSTA FRESH CAP FT10BE_3703,FLAKE INSTA FRESH CAP FT10BE_3703,2402 20 40,8902953370310,Active,43.00,70.00,CFC,4.000000,PAC,0.010000,OUT,,400.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFDS,GFINDIESPLFT10,,,4495,GOLD FLAKE INDIE SPECIAL FT10BE-V2_4495,GOLD FLAKE INDIE SPECIAL FT10BE-V2_4495,2402 20 30,8902953447418,Active,59.64,94.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFDS,GFPRSPLFT10,,,4472,GOLD FLAKE PREMIUM SPECIAL FT10BE_4472,GOLD FLAKE PREMIUM SPECIAL FT10BE_4472,2402 20 30,8902953447210,Active,59.64,94.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFDS,GFSPSTRDSFT10-VAR2,,,3727,GFLAKE SUPER STAR V2-10BE_3727,GFLAKE SUPER STAR V2-10BE_3727,2402 20 30,8901725063719,Active,50.43,79.00,CFC,12.000000,PAC,0.010000,OUT,,"1,200.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFFTK10,,,3611,GFK RED FFT-NGW-PI-2-10RC_3611,GFK RED FFT-NGW-PI-2-10RC_3611,2402 20 90,8901725012915,Active,107.93,170.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFFTK10,,,3756,GFK RED NBUNDLE+NPCT1 10RC_3756,GFK RED NBUNDLE+NPCT1 10RC_3756,2402 20 90,8901725012915,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFFTK10,,,3785,GFK RED NBUNDLE+NPCT1-PI 10RC_3785,GFK RED NBUNDLE+NPCT1-PI 10RC_3785,2402 20 90,8901725012915,Active,107.93,170.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFFTK20,,,3757,GFK RED NBUNDLE+NPCT1 20RC_3757,GFK RED NBUNDLE+NPCT1 20RC_3757,2402 20 90,8901725012113,Active,306.86,480.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFFTKBLUE10,,,3758,GFK BLUE NBUNDLE+NPCT1 10BE_3758,GFK BLUE NBUNDLE+NPCT1 10BE_3758,2402 20 90,8901725014612,Active,153.43,240.00,CFC,10.000000,PAC,0.010000,OUT,,"1,000.00",,No license checking,20.00,20.00,0.00,0.00
C,CG,CGFKS,GFFTKBLUE20,,,3724,GFK BLUE FTK NBUNDLE 20BE_3724,GFK BLUE FTK NBUNDLE 20BE_3724,2402 20 90,8901725016012,Active,215.86,340.00,CFC,10.000000,PAC,0.020000,OUT,,500.00,,No license checking,20.00,20.00,0.00,0.00
